,PROVIDENCIA GRANJA [21205980],TESORO-VERTIENTES  [21200690],CAMAVIEJA  [21205690],SAN DIEGO  [21200230],SAUCIO  [21200270],PRIMAVERA LA  [21205570],UNIV PEDAGOGICA [21206190],VILLAPINZON GRANJA [21201640],AMOLADERO EL [35060200],VIOLETA LA  [21206370],SAN JORGE GJA  [21201720],PANONIA [21200160],PRIMAVERA D MATIMA [21206180],SUASUQUE [21205920],TACHI [21205960],BOSA  [21201540],EL TRIANGULO  - AUT  [24010390],CERRO DE SUBA  [21200310],BOLSA LA [35020330],TIBAITATA [21205420],VITELMA  [21205240],REPRESA DEL NEUSA  [21205410],TATAMBO  [21206360],MACHETA GRANJA AGROP [35070230],HIDROPARAISO [21206160],ACAPULCO [21206280],POTRERITOS [35060160],CONEJERA LA  [21202080],NILO [21190210],VICTORIA LA  [21206400],STA ISABEL  [21201760],AUSTRALIA [21201300],CISACA  [21200850],MERCEDES - AUT [21205660],VILLAPINZON  [21200430],SAUCEDAL 2  [21202070],STA TERESA  [21201030],CORAZON EL [21201070],ESPERANZA LA [21201140],SALITRE CASA BOMBA  [21201960],REGADERA 2 LA  [21200340],SAN LUIS 1 Y 2  [21200400],UNIVERSIDAD NACIONAL  - AUT [21205012],SAN JOSE  [21200800],FUTE  [21201660],TABIO GRANJA [21201630],SAN GREGORIO  [21201800],FONTIBON ACUEDUCTO  [21202120],ZIPAQUIRA  [21200740],CHECUA-NEMOCON  [21205400],PANTANO REDONDO 1 [21201060],QUIBA  [21202050],DONA JUANA  [21206300],BASE AEREA MADRID [21205770],UNION LA-EL ROSAL  [21200550],SAN RAFAEL 1  [21200110],ELDORADO DIDACTICA [21205520],SANTA CRUZ DE SIECHA  - AUT [21206980],SILOS [21205740],HUERTAS LAS  [21202110],ENMANUEL D ALZON [21201230],UNION LA [21201320],SANTILLANA [21206020],JERUSALEN [21235010],VENTALARGA  [21200260],GUADALUPE  - AUT  [21201980],TABIO  [21205650],VENADO ORO VIVERO [21205580],REPRESA SISGA  [21205390],LORETOKI HACIENDA [21206010],VIOTA [21201090],TOCAIMA [21208900],VERJON EL  [21200240],SENA K 30 [21205840],LA COSECHA - AUT [21205910],GRANIZO  [21200320],JARDIN BOTANICO  - AUT [21205710],ARRAYAN-SAN FCO  [21200080],SUPATA [23060200],CASITA LA  [21201120],PARAISO PERDIDO  [21206340],CASABLANCA  [21201970],DELIRIO  [21200130],POTRERO LARGO [21200780],VEGAS LAS HACIENDA [21206230],RAMADA LA  [21205160],PISCIS [21200620],ADPOSTAL [21206000],PASQUILLA [21201580],SALITRE EL - NEUSA  [21200880],STA INES  [21201360],GUASCA [21205700],PREVENTORIO INFANT [21201310],SANTA ROSITA [21201650],SUESCA [21201620],ROBLE EL [21201550],STA LUCIA  [21200520],COLOMBIANO EL [21205850],TORCA  [21200770],FLORIDA LA [21205670],SAN PEDRO [21201250],CABRERA LA [23065120],SERREZUELA  [21202020],CENTRO MED ANDES [21205730],HATO EL [21201210],PICOTA LA  [21201560],SUTATAUSA  [24015210],SIBATE APOSTOLICA  [21200510],CASABLANCA [21206060],SAN ISIDRO [21201610],ESAP [21206040],HATO EL  [21200200]
PROVIDENCIA GRANJA [21205980],1.0,0.9709103742965823,0.9816939060315956,0.9796646091623411,0.9814215647648363,0.9884045149891834,0.9742370524620787,0.9849517181107286,0.9678921620010557,0.5432440805418951,0.9813299154734145,0.9795764308267183,0.962609748965631,0.9786318504322757,0.9925482439548862,0.9851492651576046,0.9779926307670649,0.9827932686547185,0.9800021441034035,0.9843986514181827,0.9743733323486784,0.9869077863842687,0.5346403824436287,0.9586836425612636,0.927853263294826,0.9832308063988765,0.9668873381325427,0.9867481513734727,0.30698845608425956,0.4754138783950916,0.9876479763240064,0.9831978760585907,0.9739895211362513,0.7537513706483876,0.9851403917211328,0.9909265184692472,0.9810689292490277,0.9802712092244925,0.9863838506174336,0.9815853448258302,0.9828891820216553,0.9769075263045793,0.9848660643218496,0.9716059144832382,0.9866801792488522,0.9844591962899506,0.8714756189750562,0.9851613675739868,0.979864525917321,0.9858612838266096,0.9804004935103867,0.9896288328620109,0.9889050006433153,0.9867716027772114,0.9776808075709599,0.9804856621059233,0.9899431836036946,0.978634410036592,0.9801574665393459,0.9904751827563056,0.9766468160016278,0.9858078989692907,0.9806698975401504,0.39340670133890576,0.9827911277680573,0.9829557544770104,0.9826175304234747,0.9756157637199624,0.9842188499810537,0.9838719811070711,0.4664264908459362,0.5120729657475198,0.97612367714524,0.9695580651901181,0.9788856641639929,0.977022282660061,0.9815193282767305,0.9753351945629608,0.8879643714468419,0.9784087274707891,0.9863755306509796,0.9844386635125666,0.9751526701299852,0.9758351230074208,0.9885050283248515,0.9873009396309019,0.9706658265348471,0.9651507111589633,0.10781986689994558,0.9855500313565526,0.9808960658844588,0.9804509744974657,0.9846906575233142,0.9846262889028093,0.9835481024621999,0.9917638330699067,0.9843300968937242,0.9830613679545538,0.9770372989139829,0.9865075260915303,0.9807971209950714,0.06780720753977161,0.9836279786842449,0.9569291088212887,0.9844502708571561,0.9863067700333832,0.9809398925750882,0.9835510478113134,0.9837105796147264,0.985469879492377,0.9684655445887714,0.9847332305713674
TESORO-VERTIENTES  [21200690],0.9709103742965823,1.0,0.962621016601556,0.9671829756355338,0.9727203401445399,0.9737053582153473,0.9681778631181112,0.9740818229571607,0.9516430151550743,0.5384792988686592,0.9672388373422453,0.9697837911854192,0.9496656491575262,0.9686734023218673,0.9834825932791103,0.9701790400092484,0.9659254206845084,0.9651546634346415,0.9564431633827002,0.9686123242100048,0.957007403809629,0.9737130167491316,0.5324195507243059,0.9463936505208985,0.9237465415707516,0.9713971819773555,0.9516829094582863,0.9724352869183683,0.28752157202795886,0.4602738548749857,0.9704708910092835,0.9717366642450534,0.9572923498538627,0.7420405142774693,0.974103299996388,0.9773192696742753,0.9695134567758523,0.9627561230631759,0.9647247739609166,0.9667147779272417,0.968209802000087,0.9606326487028627,0.9709265465194628,0.9648764532045268,0.9690860938608622,0.9710925064485851,0.8701642372005889,0.969580954480884,0.9651102582748897,0.972961864074762,0.9635744682510192,0.9774634607819678,0.9777692052778095,0.974504831716957,0.9618224896138577,0.9669086775112921,0.9814827415653904,0.9682285871341306,0.9680711305831796,0.9772197783457194,0.9566047116068163,0.9730241382335459,0.9701888746151781,0.3678217818180553,0.9685979970741666,0.9722361764872869,0.9659641520722572,0.9600049674035198,0.9738279486429584,0.9765225878493327,0.4732350432733639,0.47840055964861683,0.9620799584887761,0.9623101366482547,0.9674535073263766,0.9624174711915248,0.96680218143664,0.9577906786454549,0.8661059122612679,0.9641198367951249,0.9768440538962128,0.9694675362385748,0.9595320526583792,0.9672367389155928,0.9743272430952826,0.9746155545724972,0.9628108625050976,0.9592173892689192,0.10192777908168021,0.9710377447857311,0.9623753989418556,0.9664426578242842,0.97444039890504,0.9730803753422924,0.9723651171205361,0.9712030740051099,0.9690032808842023,0.9719105194099079,0.953441467686245,0.9774114392561356,0.9731514321514163,0.046578579913254696,0.9701903986415519,0.9512370248117232,0.9676844728320884,0.972865650347005,0.965116000953953,0.9689208322624334,0.974413522323147,0.9737564509374502,0.9650554328162111,0.9708210279878035
CAMAVIEJA  [21205690],0.9816939060315956,0.962621016601556,1.0,0.9846211721811821,0.976926499571411,0.9793160392561822,0.9780605468331125,0.9852653892853662,0.9575846677255481,0.5474690091783887,0.9777664111896882,0.979695582605585,0.9611883361346548,0.9773991232126114,0.9918189166364053,0.9819436131267889,0.9740777970901389,0.9803284028759202,0.9683322705106057,0.9802033703508664,0.9776507894057785,0.9805271829093015,0.538404542925581,0.9542039195922648,0.9295916939060795,0.9831282322148871,0.9569929063958033,0.9875806390528561,0.284837152181232,0.47386838193203296,0.980802708247856,0.9836754736327168,0.9645013440278977,0.7287671251252993,0.9802532769517647,0.9914537551099457,0.979161433480861,0.9694712260148525,0.9734532389734817,0.9825115900470953,0.9781474180953922,0.9788177798009142,0.9940783686550697,0.9663091670839499,0.9811463625640563,0.9845137544421659,0.8742682366420932,0.9868301960372075,0.9720599045188321,0.9804453186552561,0.9739310787596518,0.9902001740365587,0.990647551539858,0.980359854544229,0.9691332533561686,0.9781687086160051,0.9869967490956131,0.9743099668830354,0.973527242567672,0.990627537988724,0.977689871919201,0.9865995022599109,0.9783244697003233,0.3617295261050358,0.9781040972998432,0.9867538702647707,0.9747592859382183,0.9790403849979266,0.9779378192110388,0.9839795440400649,0.4402527992486277,0.4748903948547323,0.9735942529387839,0.9711617903933069,0.97760780897899,0.9775732276370365,0.9832958859382285,0.9737003524169929,0.8659087438144579,0.9758970150172559,0.985285770183218,0.9848848631981947,0.9730636066048877,0.9764210596868308,0.9905732665160625,0.9845913640856072,0.9706881818130099,0.9660809892738892,0.12464148382821393,0.9796548844900403,0.975195166241429,0.9759365003717934,0.9851755116246427,0.9846753472394687,0.983721862957822,0.9827927020815509,0.985935211744722,0.9825233477259125,0.967170025643843,0.983310578221801,0.9800641949349649,0.08380833206136361,0.9851139671431,0.9582214548724997,0.9786335847370472,0.9880333119819715,0.9747654365920768,0.9818492350895865,0.9824054474324518,0.9863494883240147,0.9707583754950116,0.9812137068651927
SAN DIEGO  [21200230],0.9796646091623411,0.9671829756355338,0.9846211721811821,1.0,0.9785979536023245,0.9808983192310665,0.9842302567640774,0.9862224340467841,0.9607820197931137,0.610681173630469,0.9790150958276995,0.9801646277717616,0.9661620972329213,0.9808371874596574,0.9900451691193692,0.9779112650440646,0.9769069809550224,0.9781857418517178,0.9770404960198162,0.9762610424040081,0.9850387245467961,0.9825006523747969,0.6055392341967999,0.9590577624863253,0.9311514264881866,0.9843682727424828,0.9617832381158224,0.9880441209112389,0.31526724362580794,0.5253774864098353,0.9788185359862882,0.9834090204720438,0.9667045082911212,0.7659744191957938,0.9812977310947338,0.9893472773543878,0.9805844709087653,0.9679920142842776,0.9700674601197581,0.9798967241997878,0.9766583031784148,0.984420908854764,0.9911962499938607,0.9669905624831496,0.9793427842640917,0.9854022171885269,0.8975333839868617,0.9835228072945887,0.9733829166644331,0.9832418930613992,0.9732014355742389,0.9891554979358518,0.9908799791915368,0.9778817839664952,0.9692340532613846,0.9795510273474732,0.9862788311771282,0.9747911247077551,0.9730824499067717,0.9884744403703818,0.975959409227163,0.9838540463288382,0.9802443981691716,0.388655740430441,0.9788476372344118,0.9916993322105133,0.9735880024847556,0.9891669607495696,0.9814615528721635,0.9844723376752098,0.45748506078291157,0.5056913775304075,0.9767649039032237,0.9796760976838185,0.9807593908404233,0.9847814670372397,0.97650718198417,0.980584980200372,0.8826862529792757,0.9767326505992115,0.9851071023680409,0.9804903198764792,0.9783656270920389,0.9794333142306695,0.9877746840437258,0.9850588191248446,0.9750032002054996,0.9761937289524225,0.1280401843585188,0.9799685967802482,0.9743355197765591,0.977140297519414,0.9847063424716332,0.9856926691728776,0.9851161423265377,0.9814925950280168,0.9827280794972648,0.9845238077903078,0.9729675308661033,0.9820275121777536,0.980426405612335,0.08344118814924331,0.9871624727145023,0.9763083856223516,0.9751969468443291,0.986835363743665,0.9760179587272064,0.9799348040814373,0.9826827370084236,0.9878669160310556,0.9815096869392677,0.9790783601901953
SAUCIO  [21200270],0.9814215647648363,0.9727203401445399,0.976926499571411,0.9785979536023245,1.0,0.9812477623500593,0.9736888206127029,0.993200093177634,0.980032020050737,0.5684689251356615,0.984271250328116,0.9908572701923615,0.9641711074664588,0.9822132139514543,0.9936807160860669,0.9828815557924864,0.9816847579165513,0.9763120550848704,0.973949973960594,0.9809778787152115,0.9752256041501233,0.9852119783163356,0.5577807669425021,0.9744229283145232,0.9311510878269965,0.9870452854541735,0.9776537521971391,0.9880242443963543,0.30075681708737534,0.4833989608688299,0.9883616367116602,0.9895386722207175,0.9760287278944043,0.7460312260110854,0.9890286605851049,0.9920752010701309,0.9846511073112661,0.9757618474519145,0.9773692929442243,0.9763877962113879,0.9864043313629857,0.9773858711298783,0.9827822295447826,0.9785354203785249,0.9850019632954786,0.9870951537976989,0.8873593564595049,0.9829087755911003,0.9808507501869241,0.9865296450280657,0.9806923763829734,0.9928844464559997,0.9929290491408077,0.9851337048767079,0.9738388449881364,0.9826010523072434,0.982788813464282,0.9849004927651828,0.9926816625319822,0.9921697084381609,0.9717279005480819,0.9864617860265387,0.9805492464668344,0.3727420010027444,0.9828303558025956,0.9880558871365057,0.9792144043506711,0.9755332319235506,0.991900512262693,0.9898535102541278,0.43374662596789654,0.48589101673408336,0.9825162712675561,0.971194399009411,0.9833423675202687,0.9786196168870446,0.9748520637721464,0.9801528029533716,0.874493749578322,0.981609823893709,0.9888945018268037,0.9826774662042472,0.9815150301640101,0.987753987865698,0.9896699961663334,0.9812205586430248,0.9873581727882436,0.9655885664461272,0.11263640361523947,0.9850989754476435,0.9738499923315886,0.9850961546623684,0.986466424937683,0.994964144706738,0.990905065029474,0.9839766275534831,0.9819041542893663,0.9889229664546533,0.970314587020297,0.9900845574473641,0.9825155624172225,0.03445266352887413,0.9868866075372232,0.9565641214296549,0.9796039010694132,0.9868351120110286,0.9806055692470832,0.9845420151847201,0.9854542098774182,0.9918082328656922,0.9698068771159697,0.9871854512005837
PRIMAVERA LA  [21205570],0.9884045149891834,0.9737053582153473,0.9793160392561822,0.9808983192310665,0.9812477623500593,1.0,0.9755097538267152,0.9896640789304753,0.9665305606843345,0.6220555253611881,0.9869604883641427,0.9859538651232624,0.9723711516792969,0.983209220647326,0.9974521690902991,0.9828451289176756,0.9779389919889673,0.980884324399552,0.9720961426140858,0.983982356743596,0.9742050082125132,0.9806021779892529,0.6289318856886595,0.9651594768519715,0.9533655980551566,0.9888850053149341,0.9656325593367441,0.9909606597297812,0.3060626054014219,0.5557333474395237,0.9868452942487888,0.9872695049590645,0.9736461993297267,0.7517480073536285,0.9837978458979441,0.992867341322797,0.984852708905308,0.9797340367908026,0.9823783715219719,0.9798637580643681,0.9820748502389346,0.9773065291811622,0.986803254185001,0.9809968109188396,0.9861858684766839,0.9889716416668006,0.9022780624646949,0.9850043149164756,0.9813496449859962,0.9802136518369777,0.9820116185471803,0.9926689663005139,0.9910942626072533,0.9871165808564466,0.9812981200552502,0.9801152399542334,0.9849253860017234,0.9815931932462921,0.9807361419472777,0.9926662551151403,0.9756189877634857,0.9882292760221387,0.9821253691306862,0.39552700745009095,0.9842384981526449,0.9886259914749105,0.9813391066798277,0.9758929311671947,0.9785437072417407,0.9889907465742699,0.43995005820014,0.5314493705270205,0.9763332527563352,0.9720819029111059,0.9833434649294513,0.9765371987272421,0.980650833063608,0.9749944164523974,0.882558014696802,0.9810830324430001,0.9907803937976621,0.9832221064350776,0.9746058897548141,0.98290771727345,0.9915872768952335,0.9847184176567427,0.9787531166572535,0.9678123362189154,0.10249924165216659,0.9837392873326936,0.9826490926362855,0.9807601475004815,0.9884484457268264,0.990241631270288,0.988169578795563,0.9895336889664748,0.9821070083778745,0.9899141611042175,0.9709189407870602,0.9898087498956222,0.9837569802210264,0.0672168154377273,0.9890598913253223,0.9607412699083666,0.9872349526209112,0.9874257575520692,0.9788189800713242,0.9861056849859156,0.9866343963968421,0.989975463300698,0.9705174768913482,0.9844048739528549
UNIV PEDAGOGICA [21206190],0.9742370524620787,0.9681778631181112,0.9780605468331125,0.9842302567640774,0.9736888206127029,0.9755097538267152,1.0,0.9741031042143385,0.9673304833081889,0.6658496389386499,0.9740416685192315,0.9726122480167358,0.9653144001515391,0.973735569668198,0.9923548120502749,0.9751018582235049,0.9719650602051074,0.9781384719560531,0.9685571564237845,0.9738022854981478,0.9746943187369443,0.9760964761059346,0.6608936305984864,0.9642192125632822,0.9622064383579019,0.9780251109363957,0.9663964117975686,0.9798588735584929,0.46503652987423105,0.6340310441574989,0.9794234442250584,0.9733187321245074,0.975399358000005,0.86535973688165,0.9767805988660972,0.9801429802818047,0.9746055400935233,0.9718107807401462,0.9727938348376998,0.9779627435977685,0.973882171710192,0.9775184894062878,0.9792383675934779,0.974106466088382,0.9755383292725972,0.975624155615713,0.9143721087774173,0.9744289404151585,0.9809472622979505,0.9755859848895113,0.9728363390423438,0.9790084675376737,0.9797298295227225,0.9784964918752901,0.9723514664084809,0.9762183262503192,0.9822328805985547,0.9737363511810391,0.9753703756365025,0.979087432774239,0.9754448368883212,0.9738530409130728,0.9734539094109983,0.54642442930539,0.9745309439766702,0.9766952075337032,0.9744070069417129,0.9809696951784753,0.9753874187951252,0.9746407645848078,0.7097655441448025,0.6958190272075621,0.973103963606056,0.9723480829156775,0.9698316475153219,0.9773311928490185,0.9829931579617657,0.9733224558922624,0.9410080798002117,0.979004822379429,0.9766946701670878,0.9749150992947524,0.9729618049615087,0.9719765292983247,0.977653373196095,0.9733382585865978,0.9680859914070009,0.9699228800226475,0.15969374791467822,0.9743611499905984,0.9738251011363204,0.9751576169941678,0.9744284956111657,0.9747869357434517,0.9730245404129934,0.9738687202758852,0.9767520719817021,0.9744628342981321,0.9735297312838359,0.9781232567445562,0.9753775617223267,0.0895603981957534,0.9784786915033057,0.961080443394695,0.9739191684267184,0.9776798150591591,0.9735987843768009,0.975598874953752,0.9739881178760409,0.974092917488768,0.9729786962751862,0.9743905295907966
VILLAPINZON GRANJA [21201640],0.9849517181107286,0.9740818229571607,0.9852653892853662,0.9862224340467841,0.993200093177634,0.9896640789304753,0.9741031042143385,1.0,0.9813421065783163,0.5400538584621597,0.9851239198126446,0.9904467417733569,0.962645188764511,0.986081817268812,0.9929911078471355,0.9895864715949536,0.9882146856842029,0.985114688722383,0.9833775761597596,0.9873740403157186,0.982106475015147,0.9923908678112108,0.5287966459994135,0.9773765711029765,0.9364165781057143,0.9844624853009557,0.9799806284841749,0.986996604182931,0.32113413551330616,0.4701744162920635,0.9924502576771057,0.9895228130257998,0.9837342177295351,0.7803838591177852,0.9955905089264523,0.9915839463466725,0.9880998188160858,0.9840266920873119,0.9854285926672647,0.9855651852491204,0.9906906952967321,0.9846974059298793,0.9844272610876034,0.9807426085851635,0.989252098973617,0.9857975684705806,0.8700472921462106,0.9872498817152915,0.9868659483136583,0.9932796792794886,0.9855964681590917,0.9923700755984154,0.99233843826323,0.9903272670359198,0.9816979122372026,0.9895720707591342,0.9918226028587,0.9888268569199946,0.991529051875553,0.9915883653647803,0.9802093975424222,0.9888728261083128,0.9869892713674716,0.41275686495258834,0.988788605372029,0.9873855071851126,0.9889473775348724,0.9818428833768165,0.9939028709124175,0.9915931080024767,0.5747940798862602,0.5295659302327875,0.9866651584359836,0.9723352632835024,0.9826279983246056,0.9853036448137487,0.9836910587446863,0.9835367861274363,0.9051108093043146,0.9871798282557562,0.9885259975946363,0.9893254424521496,0.9858776120210265,0.9859379345157985,0.9891030161581336,0.9897498100581995,0.983116495372476,0.9668159365205657,0.12266082105157114,0.9915148450348611,0.9815159527370437,0.9903367042165356,0.9884916834237653,0.9918009221736868,0.9897266757282834,0.9852045214300701,0.9891744765895077,0.9882275074991098,0.981101878732323,0.9927823807038472,0.9886447804900813,0.049287666614757926,0.9855917615415205,0.9595312669213868,0.9864956705298247,0.9917194669247289,0.9883168340436873,0.9879993108472127,0.9901799852152596,0.9909666375326907,0.9722394224435366,0.9916245783656847
AMOLADERO EL [35060200],0.9678921620010557,0.9516430151550743,0.9575846677255481,0.9607820197931137,0.980032020050737,0.9665305606843345,0.9673304833081889,0.9813421065783163,1.0,0.5360200316161191,0.9676484732168934,0.9810062423313209,0.9482175840625705,0.971506538825097,0.9871229677929929,0.9667070233333802,0.9672025362380625,0.9560108114032126,0.9662846630582155,0.9635980848695939,0.9573180713105711,0.9716890290643837,0.5207011606166877,0.9692562251992796,0.9127673363341394,0.9758361827624057,0.9803143594899906,0.9782254478570681,0.2633985596517493,0.4543685058936378,0.9726634745062404,0.9818221445402888,0.9628636492493788,0.6959448356189109,0.9777244812372624,0.9833159294770933,0.9744447301137829,0.9541648731892372,0.9571670118805323,0.9558614492089815,0.9743572205005179,0.9578703344170031,0.974760870877222,0.9630048784469541,0.9688258623672811,0.9763055571628431,0.8613589923561231,0.969916127118511,0.9614996088318569,0.9714967332552347,0.9659112984745746,0.9843154221032818,0.9852048062730774,0.9703330949831858,0.9550605267036594,0.9663101593081034,0.9729185894019878,0.9752333979377901,0.9802565097907019,0.9833200329784051,0.9504345452064179,0.9736075654490378,0.9680034091101711,0.3410395356480083,0.9681915516626642,0.9768686657311346,0.9610150336129032,0.9609704737254704,0.980850652246069,0.9783824221184866,0.4040546651256645,0.4539911220823281,0.9693581905435431,0.9615195647966706,0.9684147517343301,0.9611634900834632,0.9583026299724869,0.9639501724810792,0.8264460603369096,0.9667958279273793,0.9787958338458779,0.9655209257240849,0.9686562768440717,0.9817661775176378,0.9796760891148725,0.9717635233719418,0.9788432295369265,0.957873580043013,0.13736143031102444,0.9702071367558144,0.9605560746258324,0.9728263082785282,0.9731862548364036,0.984343407994679,0.9805421875488282,0.97074139022455,0.9640258047463457,0.9786827060161872,0.9536270270796363,0.97715051356087,0.9703305328185937,0.03272074812449644,0.9770157619626983,0.9479846144291552,0.9640361994665202,0.9757646474041379,0.9623420284036338,0.9672766171435426,0.9743879165300631,0.9827703056472971,0.9648648528198921,0.9730265378001568
VIOLETA LA  [21206370],0.5432440805418951,0.5384792988686592,0.5474690091783887,0.610681173630469,0.5684689251356615,0.6220555253611881,0.6658496389386499,0.5400538584621597,0.5360200316161191,1.0,0.5409924379453929,0.5479587569440775,0.5480523266755856,0.5445812033128525,0.6657192499238372,0.5428614487639873,0.5719412745268332,0.5587471665660559,0.554558542308346,0.5517097065252826,0.5379172840973753,0.6183247383089355,0.5772236003763626,0.5355137740304133,0.6272758229413804,0.5592531979751818,0.5424422415474752,0.5498785544660242,0.41529365276635466,0.4741133947199841,0.5413205654899539,0.5379959190920555,0.5684601833467747,0.5602578460788992,0.5778250215814852,0.5485385234871364,0.5628337893121118,0.5417093148581367,0.5463614382439912,0.5797263373699855,0.5380865407129467,0.5418063088252629,0.5710855689877447,0.5361530001266659,0.5569703626005991,0.5561171045326736,0.5545462468528872,0.5407213711211828,0.5849972054534,0.6088308060604698,0.5455851335574647,0.543396807899718,0.5569210974109844,0.5659574615299446,0.5457121811538376,0.5565264678534285,0.6897955575185787,0.554967523841802,0.5593275426537487,0.5437890979619643,0.5432791461257519,0.5433892666780695,0.5488348898426204,0.4405768969224045,0.5568641163268121,0.5641636485936307,0.5453749758438626,0.5649610247072481,0.6138835532830348,0.5557036529075295,0.502084524676388,0.5444840988920979,0.5351015467697114,0.699688379009576,0.538840009390714,0.5507011248103268,0.6174048892523002,0.5363595283654718,0.5427408583412333,0.5433452345925563,0.5639040431954279,0.5457433548242728,0.5329335307569817,0.5318600793920694,0.5442988348512915,0.5920455679335289,0.5259042846468532,0.645287232258315,0.15877083399329361,0.5618068599927274,0.5470421627271945,0.5564719772241257,0.5496366712206774,0.5386853781343054,0.5407927948578769,0.5441330833684653,0.5506723299905479,0.5515489048337985,0.5555241347612921,0.5457318487003328,0.5704657478771674,0.119563717662117,0.5420759011766342,0.6997225893039176,0.5429195871060909,0.5605494091991426,0.5595316400651953,0.5426683323014653,0.5621339190323726,0.545302280079777,0.7725052100285058,0.539390990853589
