,JARDIN BOTANICO  - AUT [21205710],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],BASE AEREA MADRID [21205770],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],VEGAS LAS HACIENDA [21206230],GUASCA [21205700],ESCUELA COL INGENIERIA [21206050],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],MERCEDES - AUT [21205660]
JARDIN BOTANICO  - AUT [21205710],1.0,-0.005904375174725123,0.9990254537265807,0.9992513570247366,0.9994338532354949,0.9987711556449949,0.9991216110812636,0.9992818985003463,0.8863649100775434,0.999479483142641,0.9988298280124919,0.9985360050635611,0.9994296473818574,0.9987300665904675,0.9901402110055384
CABRERA LA [23065120],-0.005904375174725123,1.0,-0.006404010021161868,0.002252344708183639,-0.01507251841382875,0.012042956682547777,0.004525885108428531,-0.016287469156528102,0.24046167931773607,-0.004154214923276305,-0.018569113720476503,-0.005126244733413561,-0.008241703012072584,3.6148890786451573e-05,0.07339676577609047
SAN JORGE GRANJA [21205720],0.9990254537265807,-0.006404010021161868,1.0,0.9989380423506796,0.9994289845773994,0.9983388875929878,0.998731499376665,0.9991474362982418,0.8663516705727481,0.9992227936575104,0.9987600990294658,0.9987951018243134,0.9992251287263222,0.9983114342775959,0.9858514769589825
TIBAITATA [21205420],0.9992513570247366,0.002252344708183639,0.9989380423506796,1.0,0.9994826999126927,0.9987403626672474,0.9995116741385409,0.9993626925728599,0.8634254390345358,0.9995216062210059,0.9988616273873031,0.9988108491216205,0.9995961918045038,0.99866943898493,0.9873111007892065
BASE AEREA MADRID [21205770],0.9994338532354949,-0.01507251841382875,0.9994289845773994,0.9994826999126927,1.0,0.9993228873200375,0.9994570631453513,0.9994927744517739,0.939312301808561,0.9996265262645893,0.9993465614040378,0.9991535253702598,0.9995886326852041,0.9992766967129358,0.9939257861867958
PRIMAVERA D MATIMA [21206180],0.9987711556449949,0.012042956682547777,0.9983388875929878,0.9987403626672474,0.9993228873200375,1.0,0.998494943614782,0.998918790692274,0.8873878246812075,0.9987880146333422,0.9982421497455007,0.9979317866412621,0.9988568125202977,0.9988731167813313,0.9897210427280774
PROVIDENCIA GRANJA [21205980],0.9991216110812636,0.004525885108428531,0.998731499376665,0.9995116741385409,0.9994570631453513,0.998494943614782,1.0,0.9992184954198541,0.8719090405313851,0.9992612921772682,0.9987000316446504,0.9987263377598837,0.9994161293443915,0.998503596941474,0.9869320057979452
VENADO ORO VIVERO [21205580],0.9992818985003463,-0.016287469156528102,0.9991474362982418,0.9993626925728599,0.9994927744517739,0.998918790692274,0.9992184954198541,1.0,0.920896063864673,0.9994615255367572,0.9992814356779817,0.9989555980226699,0.9994863502119681,0.999004679389634,0.9926741462068639
JERUSALEN [21235010],0.8863649100775434,0.24046167931773607,0.8663516705727481,0.8634254390345358,0.939312301808561,0.8873878246812075,0.8719090405313851,0.920896063864673,1.0,0.8881441919136257,0.8840046261313937,0.862757454452388,0.9032354935493403,0.9022644210682134,0.9195564111844137
VEGAS LAS HACIENDA [21206230],0.999479483142641,-0.004154214923276305,0.9992227936575104,0.9995216062210059,0.9996265262645893,0.9987880146333422,0.9992612921772682,0.9994615255367572,0.8881441919136257,1.0,0.9991299197350183,0.9989612487521741,0.9995448482430556,0.9989483734742943,0.9871634652697229
GUASCA [21205700],0.9988298280124919,-0.018569113720476503,0.9987600990294658,0.9988616273873031,0.9993465614040378,0.9982421497455007,0.9987000316446504,0.9992814356779817,0.8840046261313937,0.9991299197350183,1.0,0.9986753260055717,0.9992121764282564,0.998557644625958,0.9891515181331972
ESCUELA COL INGENIERIA [21206050],0.9985360050635611,-0.005126244733413561,0.9987951018243134,0.9988108491216205,0.9991535253702598,0.9979317866412621,0.9987263377598837,0.9989555980226699,0.862757454452388,0.9989612487521741,0.9986753260055717,1.0,0.9993447705803999,0.9977229543583248,0.9853670171583875
UNIVERSIDAD NACIONAL  - AUT [21205012],0.9994296473818574,-0.008241703012072584,0.9992251287263222,0.9995961918045038,0.9995886326852041,0.9988568125202977,0.9994161293443915,0.9994863502119681,0.9032354935493403,0.9995448482430556,0.9992121764282564,0.9993447705803999,1.0,0.9989473908480134,0.9901173522492208
FLORIDA LA [21205670],0.9987300665904675,3.6148890786451573e-05,0.9983114342775959,0.99866943898493,0.9992766967129358,0.9988731167813313,0.998503596941474,0.999004679389634,0.9022644210682134,0.9989483734742943,0.998557644625958,0.9977229543583248,0.9989473908480134,1.0,0.9898347734463806
MERCEDES - AUT [21205660],0.9901402110055384,0.07339676577609047,0.9858514769589825,0.9873111007892065,0.9939257861867958,0.9897210427280774,0.9869320057979452,0.9926741462068639,0.9195564111844137,0.9871634652697229,0.9891515181331972,0.9853670171583875,0.9901173522492208,0.9898347734463806,1.0
