,SABANETA [23065100],C.UNIV.AGROP-UDCA [21206260],UNIV PEDAGOGICA [21206190],SILOS [21205740],PASCA - AUT [21195190],JARDIN BOTANICO  - AUT [21205710],FLORES COLOMBIANAS [21206210],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],AEROPUERTO SANTIAGO VILA [21185040],GACHETA [35065010],BASE AEREA MADRID [21205770],SANTA ANA - AUT [21145080],SENA MOSQUERA [21206550],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],LEGIOSA LA [21145070],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],SANTA TERESA [23065060],SAN CAYETANO [23125070],VEGAS LAS HACIENDA [21206230],ITA VALSALICE  - AUT [21195120],ELDORADO CATAM - AUT [21205791],GUASCA [21205700],YACOPI  - AUT [23065110],ACAPULCO [21206280],HIDROPARAISO [21206160],ELDORADO DIDACTICA [21205520],EL JAPON [35055010],LLANO LARGO [35025050],ESCUELA COL INGENIERIA [21206050],AEROPUERTO PALANQUERO [23035020],RAMADA LA  [21205160],C.UNIV.AGROP-UDCA [21206260],ISLA DEL SANTUARIO [24015120],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],BOLSA LA [35025060],INEM KENNEDY [21206560],PENAS BLANCAS [21195110],MERCEDES - AUT [21205660],PANDI [21195060]
SABANETA [23065100],1.0,0.9991836236044874,0.9991111209017636,0.9987402185610242,0.998303560903997,0.9991255890306046,0.9996980826681727,0.02582510303479562,0.9989053844544403,0.9990323184918249,0.9291267697447559,0.9987154879767588,0.9989474039571542,0.9975123081341456,0.9994623881335175,0.9993983523678521,0.9989238388122661,0.9982209987129154,0.9992536610374291,0.7864423138081732,0.9992210874000449,0.9995503604433675,0.9993134758741029,0.9991443094972653,0.9992182536674609,0.9987735320556491,0.9974745969751114,0.999533614149284,0.9993909336540613,0.9995042216055183,0.9146676467027268,0.9990597600928753,0.9989922775752462,0.6116914372342639,0.9995689983603279,0.9991836236044874,0.9989888947385157,0.999411302278995,0.9986907528365955,0.9995180016497502,0.9997262214079008,0.9140504294900554,0.9905280563237234,0.995296232499216
C.UNIV.AGROP-UDCA [21206260],0.9991836236044874,1.0,0.9987687149445684,0.9985737101340876,0.9975135415853719,0.9982762937597418,0.9996043156833628,0.019660947875342113,0.9988850892840646,0.9989752826020076,0.9099734171383814,0.9988700839673232,0.999111759515113,0.9942909515211873,0.9993148230497575,0.9987971026726907,0.9985529787334679,0.9976305251787918,0.9988426008522178,0.7732761503620188,0.9983568588486204,0.9993430445276592,0.9989920918343481,0.9982971915625851,0.999039214471856,0.998465247641103,0.9965354384045279,0.9991595301142591,0.9996282268823092,0.999565721196317,0.9035478903071195,0.9989667942670557,0.9990455759905362,0.6245199818308776,0.9999733632540952,1.0,0.9988244509632166,0.9992426357824042,0.9988187634965141,0.9991349739943889,0.9995124069411089,0.9188501869246853,0.9888385400296238,0.9932340267942643
UNIV PEDAGOGICA [21206190],0.9991111209017636,0.9987687149445684,1.0,0.9985786601586785,0.9989383845202117,0.9985598478319323,0.9998419512921751,0.037408577250356595,0.9985519567540129,0.9986225944143146,0.9634509805432196,0.9985099778359109,0.9989455271306737,0.9982190793715022,0.9999419703112569,0.9988189874881241,0.9986535245139088,0.9980280095754999,0.9992910739645317,0.8784408768785159,0.998778400496476,0.9989694159443935,0.9986951615265454,0.9988500553273324,0.9986563492189247,0.9985447875798789,0.9979974192891498,0.9990754616053477,0.9994792366325584,0.9995610472340336,0.962510649033948,0.9988544799572742,0.998622082785293,0.7829975910606121,0.9998831162134316,0.9987687149445684,0.998663022805476,0.9988714242529262,0.9987776123156654,0.9991501689154377,0.9997880739070518,0.9603677041310297,0.995186005977886,0.9970511735295355
SILOS [21205740],0.9987402185610242,0.9985737101340876,0.9985786601586785,1.0,0.997185827683055,0.9978292301639996,0.9992909695746575,0.012676760958763597,0.9978506282907333,0.9979167849300912,0.8678292608507477,0.9980657444620602,0.9980257256314846,0.9951635953705394,0.9990335428355747,0.9982926691754677,0.9978516319933813,0.9977046398109898,0.9985103555264769,0.6838606266985365,0.9981692989014117,0.9979856051727959,0.9986394083218646,0.9983657222993063,0.9980869206953654,0.9981912355917089,0.9935257313051361,0.9991322775381796,0.9991860819714031,0.9987779962100675,0.8286510796782636,0.9983892108179082,0.998508817681426,0.5426686821938314,0.9985276250401565,0.9985737101340876,0.9978505558691719,0.9988132158663839,0.9969498802102362,0.9989954284347087,0.9994005741605075,0.9074907616077751,0.9756648242677903,0.9885029337557721
PASCA - AUT [21195190],0.998303560903997,0.9975135415853719,0.9989383845202117,0.997185827683055,1.0,0.9971171036145896,0.9989746432486624,0.02119275157350665,0.9969605222399005,0.9973527898228025,0.8813255434619983,0.9967828527283004,0.9978654187906193,0.9961799347799435,0.9996816619551258,0.9976806242089723,0.9973251555059987,0.9960588734107487,0.9978373200091031,0.7204056648611492,0.9981924511481297,0.9974932346523911,0.9976577381888094,0.9977616876739597,0.9973903932404182,0.9974698486129758,0.9948463201686752,0.9978498355478098,0.9995645890160778,0.9989765604696711,0.8651200081984965,0.9977429837040964,0.9972343340972633,0.6339484755824549,0.9987193212201161,0.9975135415853719,0.9971722805522715,0.9978947470400976,0.9977549880073685,0.9995720986705716,0.999575504378072,0.9370673326517851,0.9839575753716148,0.9909918125313062
JARDIN BOTANICO  - AUT [21205710],0.9991255890306046,0.9982762937597418,0.9985598478319323,0.9978292301639996,0.9971171036145896,1.0,0.9989388577285568,0.014511053435688164,0.9973868827059239,0.9975812865272846,0.8834107169969733,0.996992862541407,0.9982201795726986,0.9956956544447031,0.9994360822221988,0.9981106455388659,0.997693326116071,0.9970727235703929,0.9988114158419527,0.7114142802160724,0.9980433297292546,0.9985057479682409,0.9983246336173908,0.9978697774295433,0.9976517569727648,0.9972713665295356,0.9945302912172139,0.9992898021674004,0.9993286508542834,0.9991855560747791,0.8429102152654283,0.9983373160531789,0.9978670196162653,0.5717948891744334,0.9985510138213479,0.9982762937597418,0.9971586145871292,0.998567074923457,0.9973695577365593,0.9994061614354853,0.9989317232206929,0.9162172103723951,0.978142034392217,0.9895433331927784
FLORES COLOMBIANAS [21206210],0.9996980826681727,0.9996043156833628,0.9998419512921751,0.9992909695746575,0.9989746432486624,0.9989388577285568,1.0,0.02791911996312526,0.9995457612317549,0.9996482129585064,0.973821997651389,0.9994921303120936,0.9997270508147368,0.9990473664875286,0.9997043802511898,0.9994916698966667,0.9996485016576828,0.9989062493310057,0.9994121802510015,0.9382224147975529,0.9993106208198963,0.9997997017378358,0.9996905406219851,0.9993156306754768,0.9996710564474791,0.9992609244442051,0.9987771949628745,0.9998276728696468,0.9999345696327002,0.9999658252434267,0.9604325872450394,0.9995012602168429,0.9996910895392861,0.8076364949043691,0.9999692413049237,0.9996043156833628,0.9994759391842176,0.9996349240389238,0.9995416382391987,0.9998284953919326,0.9995712269105916,0.9775350491398247,0.996337439733426,0.9976098755152859
CABRERA LA [23065120],0.02582510303479562,0.019660947875342113,0.037408577250356595,0.012676760958763597,0.02119275157350665,0.014511053435688164,0.02791911996312526,1.0,0.018175589087279835,0.022721634848074605,0.09521575996574581,0.016736855423545326,0.026424060233136315,0.01956481856404256,0.019774145725426705,0.02488380401023816,0.024431408094759598,0.018433784992842317,0.015137808417201522,0.16809973021313457,0.029918266899519635,0.037886712451690924,0.0228932025329624,0.034365865671398606,0.02206383630302171,0.014158915578173125,0.044771327094553566,0.030207592118996224,0.039879172135516665,0.025679490840992285,-0.009903146520573112,0.012890857079918426,0.017210605495885878,0.09959429593084224,0.0319265128025668,0.019660947875342113,0.016932412021225904,0.02331906426999216,0.022080546896826567,0.01493966023828643,0.021562520481439546,0.07206070277416607,0.029854441172866286,0.0524669956280385
SAN JORGE GRANJA [21205720],0.9989053844544403,0.9988850892840646,0.9985519567540129,0.9978506282907333,0.9969605222399005,0.9973868827059239,0.9995457612317549,0.018175589087279835,1.0,0.9979888403886189,0.8811750613278164,0.997618174110047,0.9982268869941753,0.9940833866108882,0.9993895512004628,0.9987823789858492,0.9979537033000088,0.996814876860564,0.9985619683188164,0.6852614917789348,0.9985397036479698,0.9984375945353086,0.9990041058997176,0.9985080421180657,0.9982502490226653,0.9976002175297286,0.9946487485670342,0.9992718211328979,0.999059252214033,0.9984752204356367,0.8321757387498934,0.9984455588882769,0.9985676722098012,0.5405024380866701,0.9984056617271654,0.9988850892840646,0.9980029355199067,0.9989838599660151,0.9973972614063781,0.9994195477859458,0.9995614287579371,0.9048151773747721,0.9806588506574633,0.9905183892577137
TIBAITATA [21205420],0.9990323184918249,0.9989752826020076,0.9986225944143146,0.9979167849300912,0.9973527898228025,0.9975812865272846,0.9996482129585064,0.022721634848074605,0.9979888403886189,1.0,0.8458188613982015,0.9981426625525908,0.9982007113467131,0.9942011134353664,0.9993699961118451,0.998593679100404,0.9989498044594965,0.9966044411745562,0.9984185905010322,0.6511429242919584,0.9984239174777406,0.9981436186536101,0.9994136210326787,0.998145457211646,0.9992827712321695,0.9978707487222114,0.993544087885859,0.999071938487371,0.9991870497635251,0.9992665033412833,0.8032423155110802,0.9986041051492177,0.9991085413646785,0.5317028150972565,0.99879994358965,0.9989752826020076,0.9977846784467437,0.9993019843461838,0.9967171781780058,0.9991050059472913,0.9994856299158436,0.9091854565121621,0.9722159127984399,0.9870844735342719
