,JARDIN BOTANICO  - AUT [21205710],CABRERA LA [23065120],SAN JORGE GRANJA [21205720],TIBAITATA [21205420],BASE AEREA MADRID [21205770],PRIMAVERA D MATIMA [21206180],PROVIDENCIA GRANJA [21205980],VENADO ORO VIVERO [21205580],JERUSALEN [21235010],VEGAS LAS HACIENDA [21206230],GUASCA [21205700],ESCUELA COL INGENIERIA [21206050],UNIVERSIDAD NACIONAL  - AUT [21205012],FLORIDA LA [21205670],MERCEDES - AUT [21205660]
JARDIN BOTANICO  - AUT [21205710],1.0,0.08849188178796837,0.9979208760499068,0.9973266576327102,0.9978664189243452,0.9987251108878018,0.9969822372560624,0.9985926359052035,0.9584966810879757,0.9987224731933709,0.998041533708634,0.9987791533834385,0.9987779230971289,0.9980796288844802,0.980290119077631
CABRERA LA [23065120],0.08849188178796837,1.0,0.07148264125154492,0.10553165788348588,0.10616776042182308,0.08814568663140677,0.11137359828413786,0.08560443826343145,0.11854687088009203,0.10863512739705405,0.09172422561146337,0.10408877075318831,0.10427721601972446,0.08328636118781832,0.07276206731844331
SAN JORGE GRANJA [21205720],0.9979208760499068,0.07148264125154492,1.0,0.9954477266912775,0.9976382117986429,0.9983839458621085,0.9952982162739072,0.9986139252353918,0.9576772170179498,0.9976517660313035,0.997123429906541,0.997493178351571,0.998397020949805,0.9982019915164316,0.9800925341341856
TIBAITATA [21205420],0.9973266576327102,0.10553165788348588,0.9954477266912775,1.0,0.9971779475705284,0.9966378546017808,0.9982611339586946,0.9971225269026234,0.9456354106271797,0.9989717304588254,0.9966506622271984,0.9987371673189672,0.9979172907920928,0.9957117703953255,0.9725159370471802
BASE AEREA MADRID [21205770],0.9978664189243452,0.10616776042182308,0.9976382117986429,0.9971779475705284,1.0,0.9984954019289535,0.9970340366551118,0.9980601679524591,0.9718680307676915,0.9985457868089765,0.9973472977927136,0.9983748824542746,0.9987275364591909,0.9979530652878966,0.9851249953694234
PRIMAVERA D MATIMA [21206180],0.9987251108878018,0.08814568663140677,0.9983839458621085,0.9966378546017808,0.9984954019289535,1.0,0.9960486421682517,0.9990934661326557,0.9717187599657906,0.9974538216120903,0.9981595523304201,0.9978740414464348,0.9978802751018163,0.9991476779032481,0.9904554569493077
PROVIDENCIA GRANJA [21205980],0.9969822372560624,0.11137359828413786,0.9952982162739072,0.9982611339586946,0.9970340366551118,0.9960486421682517,1.0,0.9966846383959639,0.9457687877263836,0.9986444375618518,0.9962029510481731,0.9984478046369808,0.9977137294006458,0.9951775350338347,0.9726544057267265
VENADO ORO VIVERO [21205580],0.9985926359052035,0.08560443826343145,0.9986139252353918,0.9971225269026234,0.9980601679524591,0.9990934661326557,0.9966846383959639,1.0,0.9558245693739628,0.998476033773687,0.9984457603976056,0.998640010818213,0.9987926956253057,0.9988007505885098,0.9795406305543272
JERUSALEN [21235010],0.9584966810879757,0.11854687088009203,0.9576772170179498,0.9456354106271797,0.9718680307676915,0.9717187599657906,0.9457687877263836,0.9558245693739628,1.0,0.9715270791915172,0.9453266354867244,0.9716862555919585,0.9760873685487446,0.952608499406442,0.9534607831940253
VEGAS LAS HACIENDA [21206230],0.9987224731933709,0.10863512739705405,0.9976517660313035,0.9989717304588254,0.9985457868089765,0.9974538216120903,0.9986444375618518,0.998476033773687,0.9715270791915172,1.0,0.9979480905711637,0.9990266487009826,0.9985545028919964,0.9972200364870748,0.988867020013173
GUASCA [21205700],0.998041533708634,0.09172422561146337,0.997123429906541,0.9966506622271984,0.9973472977927136,0.9981595523304201,0.9962029510481731,0.9984457603976056,0.9453266354867244,0.9979480905711637,1.0,0.9981783813672317,0.9979450195837407,0.9976195532925093,0.9747079817308721
ESCUELA COL INGENIERIA [21206050],0.9987791533834385,0.10408877075318831,0.997493178351571,0.9987371673189672,0.9983748824542746,0.9978740414464348,0.9984478046369808,0.998640010818213,0.9716862555919585,0.9990266487009826,0.9981783813672317,1.0,0.9985115208963858,0.997488313991005,0.9868562163992483
UNIVERSIDAD NACIONAL  - AUT [21205012],0.9987779230971289,0.10427721601972446,0.998397020949805,0.9979172907920928,0.9987275364591909,0.9978802751018163,0.9977137294006458,0.9987926956253057,0.9760873685487446,0.9985545028919964,0.9979450195837407,0.9985115208963858,1.0,0.9981681213543495,0.9921351754556897
FLORIDA LA [21205670],0.9980796288844802,0.08328636118781832,0.9982019915164316,0.9957117703953255,0.9979530652878966,0.9991476779032481,0.9951775350338347,0.9988007505885098,0.952608499406442,0.9972200364870748,0.9976195532925093,0.997488313991005,0.9981681213543495,1.0,0.9787625564554974
MERCEDES - AUT [21205660],0.980290119077631,0.07276206731844331,0.9800925341341856,0.9725159370471802,0.9851249953694234,0.9904554569493077,0.9726544057267265,0.9795406305543272,0.9534607831940253,0.988867020013173,0.9747079817308721,0.9868562163992483,0.9921351754556897,0.9787625564554974,1.0
